Format Version,1.24,Take Name,Take 2025-10-06 09.40.48 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.40.49.283 AM,Capture Start Frame,99419,Total Frames in Take,532,Total Exported Frames,532,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,1585.270874,576.731934,-6427.987793,980.149109,-83.862686,5812.348145,2514.940186,-463.396942,-5905.260742,-495.673309,667.947510,-5319.407227,-51.905697,587.310913,-6176.284180,2479.185547,-461.713745,-5910.105469,-490.332367,634.706116,-5335.466797,-1624.070923,1149.004150,-3638.058350,1502.341064,575.565308,-6418.461914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,1585.713135,576.304077,-6428.192871,980.151306,-83.852272,5812.325195,2514.971680,-463.397034,-5905.258301,-495.352356,668.032471,-5318.964355,-50.912090,587.463013,-6175.602539,2479.248535,-461.735748,-5910.094727,-490.215973,634.646973,-5335.233398,-1616.495972,1133.568359,-3583.596191,1504.352051,573.418457,-6418.780273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,1585.907227,575.893005,-6428.160645,980.173767,-83.837326,5812.301758,2515.069336,-463.454041,-5905.372559,-494.898926,667.974182,-5318.731445,-49.871639,587.458008,-6174.848633,2479.171631,-461.746613,-5910.079102,-490.852631,634.187134,-5334.700684,-1608.047363,1116.504517,-3530.158203,1497.103760,576.074829,-6416.507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,1586.124878,575.069885,-6428.260742,980.179382,-83.824692,5812.316406,2515.086426,-463.407410,-5905.347168,-494.435333,667.957031,-5318.438477,-48.836876,587.647583,-6174.107910,2479.282227,-461.833496,-5910.157715,-487.736389,635.865112,-5334.373535,-1600.301392,1097.774170,-3477.220703,1490.645386,578.401245,-6414.198730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,1586.454102,574.269714,-6428.404297,980.180054,-83.814835,5812.308105,2515.152344,-463.436371,-5905.406738,-493.969543,667.902466,-5318.187012,-47.941143,587.825623,-6173.338379,2479.178223,-461.741364,-5910.074219,-488.101440,635.224304,-5333.951172,-1592.714966,1076.468506,-3425.330566,1484.747070,580.188171,-6411.971191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,1586.575317,573.642700,-6428.338379,980.132812,-83.849174,5812.314941,2515.065186,-463.395691,-5905.304199,-493.420624,667.764221,-5317.888672,-47.141220,587.972961,-6172.653809,2479.168701,-461.716156,-5910.073242,-488.022125,634.927979,-5333.706543,-1584.721191,1054.636963,-3373.950195,1499.283936,571.632080,-6415.677246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,1586.752686,573.164673,-6427.959473,980.104126,-83.858131,5812.327148,2514.982910,-463.422333,-5905.276855,-493.036682,667.754395,-5317.584473,-46.275406,588.086975,-6171.835449,2479.191162,-461.625732,-5910.071777,-487.994507,634.757385,-5333.448730,-1576.317139,1030.997925,-3322.469238,1497.798950,571.642700,-6414.598633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,1587.049194,572.709656,-6427.489258,980.131836,-83.849297,5812.294922,2514.996582,-463.413300,-5905.271484,-492.612640,667.834839,-5317.261230,-45.277969,588.388489,-6171.134277,2479.210205,-461.604218,-5910.085938,-487.970917,634.643921,-5333.192871,-1567.659424,1005.825745,-3271.377441,1497.006714,570.598389,-6413.520020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,1587.190674,572.159363,-6426.988281,980.162903,-83.803337,5812.277832,2515.060791,-463.447571,-5905.344238,-492.142517,667.941711,-5316.993652,-44.380341,588.485291,-6170.313965,2479.200684,-461.663177,-5910.077637,-488.179871,634.128601,-5332.811035,-1559.929810,981.312805,-3225.542725,1504.229736,566.154602,-6414.896973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,1587.412109,571.887695,-6426.515625,980.159729,-83.832260,5812.289062,2515.101074,-463.454712,-5905.357910,-491.728058,668.237244,-5316.622559,-43.426090,588.774658,-6169.574707,2479.141846,-461.730652,-5910.061523,-487.955872,634.083496,-5332.559082,-1547.753174,946.757935,-3177.905029,1498.329590,567.798889,-6412.450195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,1585.189209,568.932434,-6427.170898,980.156494,-83.846382,5812.287598,2515.112061,-463.431824,-5905.349121,-491.215851,668.410034,-5316.290039,-42.485104,588.934814,-6168.866211,2479.233398,-461.751984,-5910.102051,-485.688354,635.441772,-5331.956543,-1534.970581,911.956177,-3133.484619,1497.347656,566.689453,-6411.188965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,1584.193359,567.010498,-6427.326172,980.121277,-83.858513,5812.335449,2514.979736,-463.345032,-5905.249023,-490.611328,668.534119,-5315.928711,-41.746063,589.029602,-6168.276367,2479.265381,-461.678070,-5910.116211,-485.335907,635.549072,-5331.749512,-1523.752808,878.759033,-3091.031982,1504.304565,562.723206,-6412.236328,-1514.264893,839.244263,-3066.293213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,1583.845703,565.940430,-6427.494141,980.135803,-83.882195,5812.324219,2515.020264,-463.434204,-5905.331055,-490.121338,668.573669,-5315.547852,-40.770683,589.359314,-6167.739258,2479.311035,-461.681091,-5910.168457,-485.206940,635.403625,-5331.469238,-1516.686768,848.949280,-3051.505615,1504.317017,562.020630,-6411.480957,-1518.279907,833.038330,-3078.753662,-1491.870972,802.308533,-3017.692383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,1585.431274,566.860352,-6428.089355,980.142090,-83.849632,5812.318359,2514.935303,-463.336334,-5905.265625,-489.683075,668.580322,-5315.256348,-39.936501,589.709595,-6167.269531,2479.351074,-461.742310,-5910.171387,-485.260254,634.483948,-5331.180664,-1508.368286,816.226868,-3011.979736,1503.922729,561.298096,-6410.742188,-1521.373047,826.550842,-3090.631104,-1501.483154,808.063232,-3003.525879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,1586.797852,567.705750,-6428.195801,980.174072,-83.855408,5812.300293,2515.006592,-463.419586,-5905.307129,-489.247986,668.656372,-5314.983398,-38.957420,590.096497,-6166.790039,2479.252197,-461.698547,-5910.125977,-485.078430,634.191162,-5330.942871,-1494.847046,778.190857,-2971.225830,1502.183350,560.924805,-6410.202637,-1523.418213,818.553955,-3102.784668,-1510.119141,813.233398,-2990.798584,-1469.157837,726.440613,-2933.992188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,1585.948364,567.847839,-6427.015625,980.182129,-83.829399,5812.312500,2515.008301,-463.376007,-5905.272949,-488.779297,668.697510,-5314.721680,-38.117886,590.368896,-6166.305176,2479.204590,-461.754028,-5910.100586,-484.675934,634.898438,-5330.655273,-1472.804443,746.694153,-2920.598389,1503.596191,559.778320,-6409.646484,,,,-1517.877808,817.878418,-2979.363770,-1474.966064,731.433777,-2924.094238,-1455.875488,686.166931,-2894.583496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,1585.780884,567.735168,-6426.375977,980.162476,-83.849342,5812.330566,2514.964111,-463.343933,-5905.280762,-488.213104,668.655151,-5314.532227,-37.149189,590.434814,-6165.768555,2479.214355,-461.743896,-5910.104004,-482.464783,636.065063,-5330.298828,-1461.060791,706.276428,-2883.612549,1503.856323,559.503174,-6408.613770,,,,,,,-1480.184326,735.919800,-2915.201416,-1460.981079,692.396790,-2886.419189,-1441.102173,646.592346,-2858.601562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,1585.942505,567.582153,-6426.080078,980.128601,-83.866058,5812.342285,2515.022705,-463.429199,-5905.292480,-487.739197,668.678345,-5314.192871,-36.348503,590.424194,-6165.350586,2479.240479,-461.696503,-5910.111328,-482.309509,635.990845,-5330.053223,-1447.529663,662.229187,-2848.774902,1503.713257,559.217529,-6408.053711,,,,,,,-1484.872559,739.950195,-2907.211426,-1465.568115,697.993896,-2879.084229,-1445.850342,650.140564,-2850.039551,-1425.511963,604.891663,-2824.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,1586.135254,567.544800,-6425.866699,980.119812,-83.862289,5812.330078,2514.983398,-463.401093,-5905.301758,-487.157898,668.840942,-5313.833496,-35.479923,590.488342,-6164.984375,2479.242188,-461.719666,-5910.151367,-482.097900,635.923218,-5329.832031,-1436.999878,617.831909,-2816.120361,1503.705444,558.837585,-6407.454102,,,,,,,,,,-1469.688965,703.022583,-2872.494141,-1450.116455,653.328491,-2842.346924,-1430.860596,608.899170,-2813.445312,-1409.329834,562.323181,-2789.878662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,1586.124512,567.646729,-6425.511719,980.129639,-83.858063,5812.326660,2514.992676,-463.394104,-5905.288574,-486.695648,669.078247,-5313.529297,-34.666306,590.552856,-6164.585938,2479.149658,-461.734100,-5910.056152,-481.833069,635.918945,-5329.600098,-1421.532349,574.778564,-2781.599854,1503.507446,558.538940,-6407.154297,,,,,,,,,,,,,-1453.949219,656.192627,-2835.435547,-1435.666138,612.499634,-2803.962891,-1414.193970,565.719849,-2779.422852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,1585.443970,568.021423,-6424.582520,980.153320,-83.840729,5812.306641,2515.131592,-463.423767,-5905.389160,-486.219666,669.222412,-5313.339355,-34.002422,590.584290,-6164.199219,2479.166992,-461.732697,-5910.062988,-481.761566,635.894714,-5329.233887,-1403.996948,530.048401,-2748.904785,1503.421753,558.330261,-6406.537598,,,,,,,,,,,,,,,,-1439.983398,615.734436,-2795.443604,-1418.564087,568.771606,-2770.028809,-1377.524902,483.966675,-2737.263672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
