,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3184,Unlabeled 3184,Unlabeled 3184,Unlabeled 3185,Unlabeled 3185,Unlabeled 3185,Unlabeled 3186,Unlabeled 3186,Unlabeled 3186,Unlabeled 3187,Unlabeled 3187,Unlabeled 3187,Unlabeled 3188,Unlabeled 3188,Unlabeled 3188,Unlabeled 3189,Unlabeled 3189,Unlabeled 3189,Unlabeled 3258,Unlabeled 3258,Unlabeled 3258,Unlabeled 3264,Unlabeled 3264,Unlabeled 3264,Unlabeled 3266,Unlabeled 3266,Unlabeled 3266,Unlabeled 3268,Unlabeled 3268,Unlabeled 3268,Unlabeled 3269,Unlabeled 3269,Unlabeled 3269,Unlabeled 3270,Unlabeled 3270,Unlabeled 3270
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","1F307F5C26D7A29011F0","1F307F5C26D7A29011F0","1F307F5C26D7A29011F0","1F357F5C26D7A29011F0","1F357F5C26D7A29011F0","1F357F5C26D7A29011F0","1F387F5C26D7A29011F0","1F387F5C26D7A29011F0","1F387F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F877F5C26D7A29011F0","1F877F5C26D7A29011F0","1F877F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F917F5C26D7A29011F0","1F917F5C26D7A29011F0","1F917F5C26D7A29011F0","1F927F5C26D7A29011F0","1F927F5C26D7A29011F0","1F927F5C26D7A29011F0","1F937F5C26D7A29011F0","1F937F5C26D7A29011F0","1F937F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.233333,960.770081,-73.399361,5791.313965,-2057.375000,817.265198,-5756.149902,-1657.918945,676.269409,-5598.253418,-1594.370728,695.305237,-5428.478027,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,960.833435,-73.344032,5791.467285,-2057.125244,817.961365,-5753.036621,-1658.523804,676.226379,-5598.749023,-1593.931885,694.658081,-5429.175293,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,960.843018,-73.331642,5791.501465,-2056.443604,818.728516,-5749.494629,-1659.203735,676.007629,-5598.979980,-1594.054810,694.464233,-5429.503418,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,960.824280,-73.365540,5791.489746,-2055.956543,819.550598,-5745.505859,-1659.840454,675.454346,-5598.889160,-1594.049316,694.301270,-5429.614258,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,960.830261,-73.353401,5791.479004,-2055.338379,820.389282,-5741.612305,-1660.813232,675.085205,-5598.747559,-1593.820801,694.040283,-5429.792480,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,960.825623,-73.346710,5791.483398,-2054.771973,821.099243,-5738.056641,-1662.423218,674.770142,-5598.186035,-1593.430908,693.752319,-5430.052246,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,960.820618,-73.345177,5791.494629,-2054.744873,821.907288,-5734.457520,-1664.237183,674.457947,-5597.433594,-1593.043091,693.353821,-5430.300293,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,960.826721,-73.341698,5791.491699,-2054.825195,823.301819,-5730.400391,-1666.062744,674.139587,-5596.562500,-1592.550171,693.048767,-5430.456543,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,960.757874,-73.414467,5791.311035,-2054.400635,824.278992,-5726.471191,-1667.687744,673.717163,-5595.504883,-1592.245605,692.822815,-5430.514648,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,960.831909,-73.344505,5791.489258,-2053.921143,825.076355,-5722.361328,-1668.755615,673.327148,-5594.532227,-1591.427246,692.006104,-5430.470703,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,960.802429,-73.352440,5791.497559,-2053.651367,825.834534,-5718.449219,-1669.638794,673.033386,-5593.723633,-1591.142700,691.677490,-5430.140625,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,960.826355,-73.342354,5791.492676,-2053.315674,826.650146,-5714.746094,-1670.053711,672.493347,-5593.032227,-1591.492065,691.177795,-5429.803711,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,960.831421,-73.324554,5791.483887,-2053.189453,827.890503,-5710.953613,-1670.140869,672.063782,-5592.540527,-1591.792725,690.727417,-5429.182129,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,960.828552,-73.333405,5791.509277,-2053.311279,829.189636,-5706.794922,-1669.658691,671.411804,-5592.069336,-1592.642822,690.130432,-5427.918457,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,960.828674,-73.331558,5791.501953,-2052.856934,830.071106,-5702.821777,-1669.147339,671.050476,-5591.715332,-1593.136597,689.771423,-5426.951172,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,960.843933,-73.322746,5791.486328,-2052.660889,830.902283,-5698.847168,-1668.513550,670.620850,-5591.237793,-1593.469971,689.357910,-5426.059082,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,960.815857,-73.338387,5791.485840,-2052.546631,831.760681,-5694.947266,-1667.711426,670.140503,-5590.678711,-1594.314819,688.792358,-5424.772949,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,960.725708,-73.434898,5791.296875,-2053.012451,833.422913,-5691.169922,-1666.886475,669.764832,-5590.106445,-1594.608398,688.414917,-5423.594727,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383333,960.831299,-73.349007,5791.478027,-2052.718994,834.397827,-5687.376465,-1665.833496,669.200928,-5589.421387,-1595.048584,687.908081,-5422.629883,,,,,,,,,,,,,,,,,,,,,,,,
47,0.391667,960.832520,-73.348709,5791.504883,-2052.637695,835.409912,-5683.555664,-1664.959961,668.741760,-5588.779785,-1595.558960,687.436340,-5421.087402,,,,,,,,,,,,,,,,,,,,,,,,
48,0.400000,960.842163,-73.319672,5791.486328,-2053.179199,836.321594,-5679.837891,-1663.917969,668.242554,-5588.158691,-1595.969482,686.778625,-5419.854492,,,,,,,,,,,,,,,,,,,,,,,,
49,0.408333,960.764771,-73.400391,5791.305664,-2053.967041,838.013123,-5676.173340,-1662.529907,667.704712,-5587.618652,-1596.302124,686.279541,-5418.301758,,,,,,,,,,,,,,,,,,,,,,,,
50,0.416667,960.828125,-73.364655,5791.473633,-2054.569092,838.899658,-5672.493652,-1660.962402,667.316345,-5587.174316,-1596.965942,685.769409,-5417.315430,,,,,,,,,,,,,,,,,,,,,,,,
51,0.425000,960.835571,-73.339951,5791.492188,-2054.527832,839.767029,-5669.274902,-1659.524292,666.890930,-5586.532227,-1597.514404,685.665161,-5415.830566,,,,,,,,,,,,,,,,,,,,,,,,
52,0.433333,960.764282,-73.391678,5791.328125,-2055.299561,841.398132,-5665.848633,-1657.963013,666.254578,-5585.657227,-1597.948486,685.367798,-5413.978516,,,,,,,,,,,,,,,,,,,,,,,,
53,0.441667,960.817627,-73.339012,5791.472656,-2055.897705,842.211609,-5662.462402,-1656.081787,665.714172,-5584.694336,-1598.709351,685.159302,-5412.241699,,,,,,,,,,,,,,,,,,,,,,,,
