Format Version,1.24,Take Name,Take 2025-10-06 09.41.01 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.41.02.331 AM,Capture Start Frame,100985,Total Frames in Take,668,Total Exported Frames,668,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,1696.571655,594.835449,-6575.193848,980.144958,-83.869751,5812.334961,2514.942383,-463.328339,-5905.286621,-540.496704,558.277710,-5351.916504,2479.210205,-461.667969,-5910.161621,-1614.587280,915.633240,-5173.756348,-543.773315,525.751465,-5368.296387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,1696.653687,594.874756,-6575.220215,980.147339,-83.843857,5812.322754,2515.015625,-463.359528,-5905.376953,-543.253662,556.891479,-5354.270020,2479.254883,-461.727051,-5910.094238,-1614.482422,916.881592,-5170.253906,-546.646912,524.360657,-5370.391113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,1696.722900,594.782898,-6575.212402,980.159729,-83.845421,5812.306152,2515.062256,-463.351471,-5905.382324,-545.858154,555.541809,-5356.691406,2479.186523,-461.748566,-5910.094727,-1614.328003,917.827881,-5166.803223,-549.457703,523.465088,-5372.565918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,1696.746826,594.711121,-6575.191895,980.186890,-83.832512,5812.297363,2515.187256,-463.410065,-5905.708496,-548.776672,554.631226,-5358.845703,2479.228027,-461.721405,-5910.142090,-1614.505249,918.732971,-5163.414062,-552.108948,522.381592,-5374.826172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,1696.731323,594.652893,-6575.163086,980.155029,-83.854904,5812.327148,2515.017334,-463.356964,-5905.375000,-551.573975,554.020630,-5360.926758,2479.176758,-461.638489,-5910.099121,-1614.608154,919.212769,-5160.148926,-555.812622,520.707642,-5376.638672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,1696.723755,594.594604,-6575.137207,980.159668,-83.857628,5812.350098,2514.871094,-463.308502,-5905.289062,-554.376404,553.349854,-5362.991211,2479.170410,-461.635284,-5910.102051,-1615.166382,920.277954,-5157.386719,-559.430664,519.640747,-5378.226562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,1696.774414,594.550293,-6575.140625,980.179138,-83.845169,5812.323242,2514.956787,-463.409027,-5905.369141,-556.940918,552.630737,-5365.142578,2479.140381,-461.628601,-5910.094238,-1615.014160,921.010925,-5154.027832,-561.037964,519.888855,-5380.865723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,1696.802979,594.500000,-6575.132812,980.175415,-83.839340,5812.309082,2515.062012,-463.355499,-5905.392578,-559.535706,551.999817,-5367.205078,2479.110596,-461.639923,-5910.070801,-1614.905762,922.063354,-5150.631348,-564.553345,518.890625,-5382.589355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,1696.800293,594.509705,-6575.120605,980.215332,-83.849609,5812.312500,2515.065430,-463.340546,-5905.382812,-561.811829,551.344604,-5369.299805,2479.227539,-461.705231,-5910.124023,-1614.474976,923.047363,-5147.066895,-567.989258,518.395813,-5384.171387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,1696.810913,594.480652,-6575.094238,980.181885,-83.849525,5812.342773,2515.124268,-463.357758,-5905.414551,-564.900635,551.280151,-5370.757812,2479.222656,-461.711609,-5910.119141,-1613.093506,924.926392,-5143.541016,-569.906128,518.330139,-5386.406738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
