Format Version,1.24,Take Name,Take 2025-10-06 09.48.31 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.48.31.906 AM,Capture Start Frame,37805,Total Frames in Take,719,Total Exported Frames,719,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,960.512756,-73.651443,5791.507324,-422.108887,1000.237366,-5246.112793,1475.782837,-521.879639,-6242.237305,-1597.160767,958.456360,-5247.370117,-434.131226,973.725952,-5247.918457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,960.063354,-74.145599,5791.381836,-422.171051,1000.190002,-5246.098145,1475.718628,-522.086365,-6242.240234,-1599.044067,963.859497,-5231.890625,-434.291992,973.714355,-5247.914551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,960.184937,-74.021507,5791.239258,-422.263397,1000.138184,-5246.066895,1475.919312,-522.001038,-6242.163574,-1601.584717,972.251343,-5210.680664,-434.329346,973.606445,-5247.931152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,960.194580,-74.027672,5791.161133,-422.372772,1000.121338,-5246.049316,1476.453735,-521.268433,-6241.977051,-1605.292114,986.009644,-5182.729004,-434.491333,973.608826,-5247.929688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,960.553467,-73.674065,5791.109375,-422.512512,1000.118958,-5246.033691,1475.737305,-521.873474,-6242.259277,-1609.273438,1003.616211,-5147.066406,-434.506378,973.498718,-5247.976562,-2507.239014,1001.010986,-5466.278320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,960.060242,-74.162682,5791.385254,-423.104126,999.781616,-5245.819824,1475.771362,-521.970703,-6242.224609,-1613.855591,1024.466309,-5103.784668,-434.694977,973.491150,-5247.951660,-2503.775391,1002.515442,-5455.379395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,960.182983,-74.020851,5791.309082,-423.245209,999.711182,-5245.768555,1475.905396,-521.980713,-6242.140137,-1618.339600,1045.231812,-5053.212891,-434.723846,973.382874,-5247.999023,-2500.326172,1006.747131,-5441.683594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,960.041077,-74.179573,5791.344238,-423.567322,999.558472,-5245.778320,1475.998657,-522.003845,-6242.066406,-1622.326782,1063.815308,-4996.590332,-434.860809,973.332397,-5247.996582,-2496.459229,1009.557007,-5427.399902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,960.676392,-73.499001,5791.322754,-423.726257,999.574158,-5245.789062,1475.976318,-522.018982,-6242.077148,-1625.285645,1075.832031,-4935.281250,-434.993286,973.333435,-5247.991699,-2492.853760,1015.696045,-5411.541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,960.500732,-73.675598,5791.500000,-423.945435,999.476868,-5245.809082,1475.935669,-522.000305,-6242.108398,-1628.335571,1086.496338,-4873.786133,-435.629913,973.439819,-5247.926758,-2489.312988,1021.977661,-5394.318848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,960.201599,-74.032562,5791.291992,-424.105194,999.459595,-5245.812012,1475.992554,-521.971741,-6242.089355,-1631.398804,1094.005371,-4812.191406,-435.841736,973.318726,-5247.937988,-2485.800293,1028.582886,-5375.295410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,960.174316,-74.059441,5791.175781,-424.626953,999.500366,-5246.081055,1476.001587,-522.028259,-6242.087891,-1635.232788,1101.664673,-4751.359863,-436.024353,973.273499,-5247.982910,-2482.091309,1034.313721,-5353.289062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,960.066406,-74.153145,5791.279297,-425.478210,999.773865,-5246.169434,1476.005615,-521.997925,-6242.090820,-1638.729126,1108.001343,-4690.897949,-436.185547,973.267334,-5247.984375,-2478.506104,1040.081299,-5329.439941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,960.669312,-73.503723,5791.327148,-425.688446,999.851562,-5246.220215,1475.961060,-521.975647,-6242.111816,-1640.814575,1113.841675,-4630.045898,-436.375977,973.307251,-5247.997070,-2474.541016,1047.100342,-5302.907715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
