,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 2020,Unlabeled 2020,Unlabeled 2020,Unlabeled 2021,Unlabeled 2021,Unlabeled 2021,Unlabeled 2022,Unlabeled 2022,Unlabeled 2022,Unlabeled 2023,Unlabeled 2023,Unlabeled 2023,Unlabeled 2042,Unlabeled 2042,Unlabeled 2042,Unlabeled 2239,Unlabeled 2239,Unlabeled 2239,Unlabeled 2265,Unlabeled 2265,Unlabeled 2265,Unlabeled 2266,Unlabeled 2266,Unlabeled 2266
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","15567F5C26D7A29011F0","15567F5C26D7A29011F0","15567F5C26D7A29011F0","155C7F5C26D7A29011F0","155C7F5C26D7A29011F0","155C7F5C26D7A29011F0","155E7F5C26D7A29011F0","155E7F5C26D7A29011F0","155E7F5C26D7A29011F0","15717F5C26D7A29011F0","15717F5C26D7A29011F0","15717F5C26D7A29011F0","164B7F5C26D7A29011F0","164B7F5C26D7A29011F0","164B7F5C26D7A29011F0","16657F5C26D7A29011F0","16657F5C26D7A29011F0","16657F5C26D7A29011F0","16667F5C26D7A29011F0","16667F5C26D7A29011F0","16667F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,0.508333,960.778564,-73.408669,5791.503418,-183.401367,982.272949,-5203.040527,-2500.476562,983.792358,-5567.921875,-2511.359619,1027.932251,-5368.629883,,,,,,,,,,,,
62,0.516667,960.776367,-73.427650,5791.497070,-182.865845,984.391846,-5202.470215,-2496.392090,983.921509,-5572.849121,-2508.125000,1031.841309,-5375.203613,,,,,,,,,,,,
63,0.525000,960.768005,-73.432335,5791.498535,-181.974274,985.682434,-5202.305664,-2492.389893,983.496887,-5577.800781,-2505.197754,1035.924072,-5380.958008,,,,,,,,,,,,
64,0.533333,960.766907,-73.421005,5791.492188,-180.804718,987.180725,-5202.284180,-2488.511475,982.379272,-5582.724121,-2502.383789,1039.843506,-5386.716309,,,,,,,,,,,,
65,0.541667,960.789734,-73.412155,5791.496582,-180.269791,988.705261,-5202.193848,-2484.514648,980.892151,-5587.481445,-2498.787598,1043.130859,-5393.053223,,,,,,,,,,,,
66,0.550000,960.220215,-74.023331,5791.308105,-179.253128,990.290588,-5202.226562,-2480.107666,978.990479,-5592.173340,-2494.984375,1045.708374,-5398.547363,,,,,,,,,,,,
67,0.558333,960.785339,-73.435349,5791.505859,-178.235275,991.776062,-5202.371582,-2475.311279,976.714600,-5596.676758,-2491.741211,1048.807617,-5404.660645,,,,,,,,,,,,
68,0.566667,960.388489,-73.803185,5791.469727,-177.292389,993.232056,-5202.409668,-2470.294434,974.169067,-5600.894043,-2487.611084,1050.819336,-5410.672852,,,,,,,,,,,,
69,0.575000,960.760986,-73.416992,5791.493164,-176.359131,994.921204,-5202.492676,-2465.056885,971.186890,-5604.864258,-2483.526123,1052.555054,-5416.144531,,,,,,,,,,,,
70,0.583333,960.709412,-73.464569,5791.358398,-175.564346,996.195190,-5202.570312,-2459.923584,967.879517,-5608.509277,-2479.105469,1053.676636,-5421.464844,,,,,,,,,,,,
